timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214449.166288,10.30.247.143,142.250.192.133,6,314,PA,51022,443
1745214449.166712,10.30.247.143,142.250.192.133,6,329,PA,51022,443
1745214449.1706429,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.1711202,142.250.192.133,10.30.247.143,6,1012,PA,443,51022
1745214449.171564,142.250.192.133,10.30.247.143,6,97,PA,443,51022
1745214449.171965,10.30.247.143,142.250.192.133,6,66,A,51022,443
1745214449.172342,10.30.247.143,142.250.192.133,6,66,A,51022,443
1745214449.1727848,10.30.247.143,142.250.192.133,6,97,PA,51022,443
1745214449.173106,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.173409,142.250.192.133,10.30.247.143,6,78,A,443,51022
1745214449.173776,10.30.247.143,142.250.192.133,6,1436,A,51022,443
1745214449.1742022,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.178841,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.1792011,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.179557,142.250.192.133,10.30.247.143,6,78,A,443,51022
1745214449.277174,10.30.247.143,8.8.8.8,17,254,0,59709,443
1745214449.277591,10.30.247.143,8.8.8.8,17,254,0,59709,443
